data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2019-09-14,2019,north dakota,sam houston state,27,23,1
2019-09-14,2019,wyoming,idaho,21,16,1
2019-09-14,2019,troy,southern mississippi,42,47,0,-3.0,,-3.0,,,
2019-09-14,2019,charlotte,umass,52,17,1,-20.875,,-20.875,,,
2019-09-14,2019,south florida,south carolina state,55,16,1,-25.0,,-25.0,,,
2019-09-14,2019,liberty,buffalo,35,17,1,5.875,,5.875,,,
2019-09-14,2019,richmond,elon,20,42,0
2019-09-14,2019,stony brook,wagner,26,10,1
2019-09-14,2019,bucknell,villanova,10,45,0
2019-09-14,2019,william & mary,colgate,38,10,1
2019-09-14,2019,alabama state,kennesaw state,7,42,0
2019-09-14,2019,wofford,samford,14,21,0
2019-09-14,2019,florida a&m,fort valley state,57,20,1
2019-09-14,2019,butler,taylor,14,17,0
2019-09-14,2019,gardner-webb,north carolina central,21,12,1
2019-09-14,2019,charleston southern,north carolina a&t,21,27,0
2019-09-14,2019,marshall,ohio,33,31,1,-4.125,,-4.125,,,
2019-09-14,2019,kentucky,florida,21,29,0,9.75,,9.75,,,
2019-09-14,2019,texas a&m,lamar,62,3,1,-45.0,,-45.0,,,
2019-09-14,2019,davidson,wv wesleyan,41,0,1
2019-09-14,2019,auburn,kent state,55,16,1,-35.875,,-35.875,,,
2019-09-14,2019,southern,edward waters,61,0,1
2019-09-14,2019,arkansas-pine bluff,langston,53,15,1
2019-09-14,2019,toledo,murray state,45,0,1,-36.5,,-36.5,,,
2019-09-14,2019,smu,texas state,47,17,1,-17.5,,-17.5,,,
2019-09-14,2019,maine,towson,23,45,0
2019-09-14,2019,southern illinois,ut martin,28,14,1
2019-09-14,2019,north alabama,alabama a&m,24,31,0
2019-09-14,2019,jackson state,tennessee state,49,44,1
2019-09-14,2019,florida international,new hampshire,30,17,1,-13.5,,-13.5,,,
2019-09-14,2019,mcneese,alcorn state,17,14,1
2019-09-14,2019,prairie view,nicholls,35,42,0
2019-09-14,2019,tennessee tech,uva-wise,31,14,1
2019-09-14,2019,northern arizona,western new mexico,55,21,1
2019-09-14,2019,presbyterian college,jacksonville,20,30,0
2019-09-14,2019,western michigan,georgia state,57,10,1,-9.0,,-9.0,,,
2019-09-14,2019,central arkansas,abilene christian,31,30,1
2019-09-14,2019,nevada,weber state,19,13,1,-7.5,,-7.5,,,
2019-09-14,2019,mercer,austin peay,34,48,0
2019-09-14,2019,middle tennessee,duke,18,41,0,6.5,,6.5,,,
2019-09-14,2019,louisiana,texas southern,77,6,1,-47.0,,-47.0,,,
